Category: All categories

Region,Ketogenic diet: (2016)
Alaska,100
Washington,94
Wyoming,85
Idaho,85
Montana,80
Utah,79
Hawaii,75
Arizona,75
North Dakota,73
Colorado,70
Oregon,70
Oklahoma,70
California,69
Nevada,68
Missouri,66
Texas,65
Florida,65
Vermont,64
Kansas,62
New Mexico,62
Maine,61
Virginia,60
Louisiana,59
Nebraska,59
Mississippi,59
Minnesota,58
New Hampshire,57
Indiana,57
Kentucky,57
Illinois,56
Iowa,56
Alabama,55
Ohio,55
Arkansas,54
South Dakota,54
North Carolina,54
Georgia,54
West Virginia,53
Tennessee,52
Wisconsin,51
New York,51
Pennsylvania,51
Delaware,50
Connecticut,50
Rhode Island,49
Michigan,49
Massachusetts,49
District of Columbia,47
Maryland,46
New Jersey,46
South Carolina,45
