Category: All categories

Region,Cholesterol: (2016)
West Virginia,100
Virginia,89
Mississippi,89
New Jersey,88
Maryland,88
North Carolina,88
Pennsylvania,88
Missouri,87
Arizona,85
Tennessee,84
Connecticut,83
Kentucky,83
Ohio,83
Georgia,83
Delaware,82
New Hampshire,81
Maine,81
Alabama,81
Indiana,80
Florida,80
Illinois,79
New York,79
South Dakota,78
Arkansas,78
Idaho,78
California,78
Rhode Island,78
Michigan,78
North Dakota,77
Massachusetts,76
Hawaii,76
Louisiana,75
Texas,75
Wisconsin,74
Minnesota,73
Nebraska,73
Montana,72
South Carolina,71
Kansas,70
Wyoming,70
Vermont,70
Colorado,69
New Mexico,69
Oklahoma,69
Alaska,68
Oregon,68
Iowa,67
Nevada,67
Washington,66
District of Columbia,66
Utah,61
