Category: All categories

Region,Fast food: (2016)
Nevada,100
Arizona,93
Oklahoma,85
Colorado,83
California,78
Texas,78
Georgia,77
Missouri,76
Utah,76
Nebraska,76
Alabama,75
Tennessee,74
South Dakota,70
Wyoming,69
New Mexico,68
North Dakota,68
Florida,66
Indiana,66
South Carolina,65
North Carolina,65
Minnesota,64
Illinois,64
Idaho,63
Louisiana,63
Kansas,62
Mississippi,62
Virginia,62
Kentucky,62
Arkansas,60
Michigan,60
Ohio,59
Oregon,56
Montana,56
Washington,55
Maryland,52
District of Columbia,52
Wisconsin,51
Iowa,50
West Virginia,46
Delaware,42
Rhode Island,42
Pennsylvania,42
Hawaii,41
New York,41
Massachusetts,41
New Jersey,41
Alaska,39
New Hampshire,35
Connecticut,34
Maine,30
Vermont,29
