Category: All categories

Region,Chest pain: (2014)
West Virginia,100
Mississippi,85
Arkansas,81
Kentucky,80
Tennessee,79
Pennsylvania,78
Alabama,77
Oklahoma,74
Louisiana,73
South Carolina,72
Rhode Island,71
Ohio,71
Michigan,71
Florida,70
Indiana,70
Georgia,70
Nebraska,69
Nevada,69
New Hampshire,69
North Carolina,69
Delaware,69
Illinois,68
Maine,68
North Dakota,68
Texas,68
Hawaii,67
Missouri,67
Iowa,66
Vermont,65
New Mexico,65
South Dakota,64
Kansas,64
Connecticut,63
New Jersey,63
Alaska,63
Wyoming,63
New York,63
District of Columbia,62
Idaho,62
Massachusetts,62
Maryland,60
Wisconsin,60
California,58
Minnesota,58
Montana,58
Arizona,57
Colorado,54
Virginia,54
Washington,54
Utah,54
Oregon,32
