Category: All categories

Region,Cigarette: (2012)
West Virginia,100
Kentucky,99
Pennsylvania,97
Missouri,93
Indiana,92
New Jersey,92
Ohio,91
New York,90
Hawaii,89
New Mexico,89
Rhode Island,88
Alabama,87
Illinois,87
North Carolina,87
Florida,87
Michigan,86
Louisiana,86
Connecticut,86
Oklahoma,86
Arizona,86
North Dakota,85
Arkansas,85
Vermont,84
South Carolina,83
Washington,83
Massachusetts,82
Wyoming,82
Tennessee,82
Maine,82
Wisconsin,82
District of Columbia,81
New Hampshire,81
Virginia,81
California,80
Nevada,80
Minnesota,79
Georgia,79
Mississippi,78
Alaska,78
Maryland,78
Texas,77
Delaware,76
Kansas,76
Colorado,76
Idaho,74
Nebraska,74
Oregon,72
South Dakota,71
Montana,67
Iowa,67
Utah,62
