Category: All categories

Region,Chest pain: (2010)
South Dakota,100
Kentucky,97
Tennessee,92
Arkansas,89
Alabama,89
South Carolina,87
Mississippi,86
Montana,84
Vermont,84
Pennsylvania,84
Missouri,82
Indiana,81
Louisiana,81
New Hampshire,80
Ohio,79
Oklahoma,79
North Carolina,78
Maine,77
Alaska,76
Wyoming,76
Idaho,75
Minnesota,75
Wisconsin,75
North Dakota,75
Rhode Island,74
Delaware,73
Nevada,73
Georgia,73
Kansas,73
Nebraska,72
Maryland,72
Massachusetts,72
Utah,72
Oregon,71
Connecticut,70
Illinois,70
Michigan,69
West Virginia,68
New Jersey,68
Arizona,67
Florida,67
District of Columbia,64
Colorado,63
Texas,63
New Mexico,62
Washington,62
New York,62
Iowa,61
Hawaii,54
California,38
Virginia,36
