Category: All categories

Region,Cigarette: (2007)
Iowa,100
Rhode Island,98
South Dakota,91
New Hampshire,88
West Virginia,88
Kentucky,85
Vermont,82
Connecticut,81
Indiana,80
Delaware,80
New York,80
Maine,79
Pennsylvania,78
Wisconsin,77
Michigan,77
Arizona,74
New Jersey,73
Illinois,73
Arkansas,72
Tennessee,71
Nebraska,71
Louisiana,71
South Carolina,70
Maryland,70
Texas,70
Missouri,70
Alaska,70
Mississippi,69
Montana,68
Alabama,68
North Dakota,68
Ohio,68
New Mexico,68
Nevada,66
Kansas,66
Oregon,66
Minnesota,65
Hawaii,65
North Carolina,65
Oklahoma,63
Massachusetts,62
District of Columbia,61
Virginia,60
Colorado,60
California,60
Washington,58
Florida,58
Georgia,56
Idaho,55
Wyoming,54
Utah,42
