Category: All categories

Region,Cholesterol: (2011)
Mississippi,100
South Dakota,90
West Virginia,88
Maine,84
Montana,84
Alabama,84
Pennsylvania,83
North Dakota,82
Ohio,81
Louisiana,80
New Jersey,80
Arkansas,80
Tennessee,79
New Mexico,78
Oklahoma,78
Nevada,77
North Carolina,77
Delaware,77
Virginia,77
Nebraska,76
Connecticut,76
Kentucky,76
Illinois,75
Florida,75
Maryland,75
South Carolina,75
Kansas,75
Texas,74
New Hampshire,74
Iowa,74
Utah,74
Michigan,72
Oregon,72
Rhode Island,72
Indiana,71
Hawaii,71
Georgia,71
Massachusetts,71
Arizona,70
Missouri,70
Minnesota,69
Idaho,69
California,68
Vermont,67
Washington,66
Alaska,66
Wyoming,66
Wisconsin,66
District of Columbia,65
New York,63
Colorado,62
