Category: All categories

Region,Fast food: (2013)
Arizona,100
Louisiana,97
Texas,96
Georgia,95
District of Columbia,91
Missouri,90
Mississippi,89
Illinois,88
California,88
Michigan,85
Colorado,83
Florida,82
Ohio,78
Minnesota,78
Nevada,77
Tennessee,77
Washington,75
North Carolina,74
Indiana,73
Nebraska,73
Kansas,70
Wisconsin,69
South Carolina,69
Maryland,69
South Dakota,68
New Mexico,66
Massachusetts,64
Oklahoma,64
Wyoming,63
North Dakota,63
Alabama,62
Arkansas,62
Utah,62
Virginia,61
Kentucky,61
New York,60
Pennsylvania,59
New Jersey,59
Alaska,58
Iowa,58
Idaho,57
Hawaii,57
Delaware,54
Montana,54
West Virginia,54
Connecticut,47
Rhode Island,47
Oregon,42
New Hampshire,38
Maine,36
Vermont,33
