Category: All categories

Region,Ketogenic diet: (2019)
Idaho,100
Alaska,95
Utah,91
Washington,89
Arizona,89
Montana,88
Wyoming,88
Oregon,87
Hawaii,86
Louisiana,85
New Hampshire,85
West Virginia,85
Tennessee,85
Nevada,84
Texas,83
Florida,83
California,83
Wisconsin,83
New Mexico,81
Kansas,78
Indiana,78
North Dakota,78
Oklahoma,77
Arkansas,77
Maine,77
Colorado,77
Nebraska,77
South Carolina,76
Mississippi,76
Alabama,76
Missouri,76
Michigan,76
Virginia,75
Illinois,75
Ohio,75
Georgia,75
Iowa,75
Kentucky,74
North Carolina,74
Minnesota,72
Rhode Island,71
South Dakota,70
Delaware,68
Maryland,68
Connecticut,67
Vermont,65
Pennsylvania,64
New Jersey,62
Massachusetts,61
New York,58
District of Columbia,48
