Category: All categories

Region,Alcohol: (2008)
North Dakota,100
South Dakota,95
Delaware,93
Alaska,92
Vermont,90
Montana,88
New Mexico,88
Maine,87
Indiana,86
New Hampshire,85
Wyoming,85
Pennsylvania,85
Rhode Island,84
Wisconsin,81
Idaho,80
West Virginia,80
Connecticut,79
Minnesota,79
Michigan,78
Oregon,78
Iowa,77
Massachusetts,75
Nebraska,73
Washington,73
Missouri,73
Colorado,73
Ohio,73
Maryland,72
Kentucky,72
North Carolina,71
Mississippi,70
Illinois,69
Georgia,69
District of Columbia,67
Texas,67
Arkansas,66
New Jersey,66
Nevada,66
Florida,65
Arizona,65
South Carolina,65
Hawaii,65
Kansas,64
Virginia,64
Louisiana,63
Alabama,63
California,62
New York,62
Oklahoma,62
Tennessee,58
Utah,55
