Category: All categories

Region,Ketogenic diet: (2014)
Virginia,100
Alaska,70
Montana,55
Oregon,51
Washington,50
Vermont,50
Arkansas,48
South Dakota,46
Hawaii,46
Idaho,45
Arizona,45
Colorado,44
Wyoming,43
Utah,43
Nevada,43
California,43
North Dakota,42
Tennessee,42
Maryland,42
New Mexico,41
Missouri,41
Maine,41
Delaware,40
Minnesota,40
Oklahoma,40
New Hampshire,40
Alabama,40
Texas,39
Louisiana,39
Nebraska,39
Wisconsin,38
Kentucky,38
Iowa,38
Rhode Island,37
Ohio,37
Florida,37
Indiana,37
Connecticut,36
North Carolina,35
New Jersey,35
South Carolina,35
New York,35
Massachusetts,35
Kansas,34
Pennsylvania,34
Michigan,33
Illinois,33
West Virginia,33
District of Columbia,33
Mississippi,31
Georgia,31
