Category: All categories

Region,Cigarette: (2018)
West Virginia,100
Kentucky,97
Oklahoma,88
Indiana,86
Pennsylvania,86
Missouri,85
Ohio,84
Arkansas,84
Delaware,81
Nevada,80
Kansas,80
Tennessee,78
Illinois,78
Mississippi,77
Oregon,77
Maine,77
Michigan,76
North Carolina,75
Alabama,75
Vermont,74
Louisiana,74
Alaska,74
South Dakota,73
Arizona,73
North Dakota,72
Montana,72
Iowa,72
New York,72
New Hampshire,72
New Jersey,71
Rhode Island,71
Minnesota,70
Wisconsin,70
Virginia,70
Massachusetts,70
Wyoming,69
South Carolina,69
Maryland,69
Georgia,68
Connecticut,68
Texas,67
Washington,67
Colorado,67
Florida,65
California,65
New Mexico,64
Idaho,62
Nebraska,57
District of Columbia,56
Utah,55
Hawaii,55
