Category: All categories

Region,Chest pain: (2004)
Kansas,100
Idaho,93
Mississippi,89
Alaska,85
Louisiana,82
Iowa,81
Vermont,76
Oklahoma,76
Missouri,71
Indiana,68
New Hampshire,64
Rhode Island,63
Arkansas,61
District of Columbia,61
Ohio,59
Connecticut,59
Texas,59
Arizona,58
Virginia,58
Alabama,58
North Carolina,58
Tennessee,58
Florida,57
Minnesota,56
Maryland,53
Pennsylvania,52
Illinois,52
South Carolina,51
New Jersey,51
Massachusetts,49
New York,49
Hawaii,49
Michigan,48
Georgia,47
California,46
Washington,45
New Mexico,45
Nevada,44
Colorado,43
Kentucky,43
Oregon,40
Nebraska,37
Wisconsin,31
Utah,24
Delaware,
Maine,
Montana,
North Dakota,
South Dakota,
West Virginia,
Wyoming,
