Category: All categories

Region,Chest pain: (2016)
West Virginia,100
Mississippi,86
Tennessee,84
Ohio,78
Pennsylvania,78
Kentucky,76
North Carolina,75
Delaware,74
Arkansas,74
Georgia,72
Alabama,71
Oklahoma,71
Michigan,70
Virginia,69
South Dakota,68
North Dakota,68
Indiana,68
Rhode Island,68
Wyoming,67
Texas,66
Louisiana,66
Nebraska,66
New Hampshire,66
Florida,65
New Jersey,64
Missouri,64
Alaska,64
Illinois,64
Vermont,64
Maryland,63
Arizona,63
Iowa,62
Massachusetts,62
South Carolina,62
New Mexico,62
Maine,62
New York,62
Kansas,61
Hawaii,60
Nevada,59
Wisconsin,59
District of Columbia,58
Utah,58
Montana,58
Connecticut,56
Minnesota,56
Idaho,56
California,55
Washington,54
Colorado,51
Oregon,46
