Category: All categories

Region,Cholesterol: (2014)
Delaware,100
Maine,93
Arkansas,89
Indiana,86
Maryland,86
Pennsylvania,85
South Dakota,84
New Jersey,84
New Hampshire,83
New Mexico,83
Mississippi,82
West Virginia,82
Illinois,82
North Carolina,82
North Dakota,81
Tennessee,81
Massachusetts,80
Arizona,80
Ohio,80
Florida,79
Missouri,79
New York,79
Alabama,79
Hawaii,79
Montana,77
Kentucky,76
Rhode Island,76
Iowa,76
Texas,76
Connecticut,76
Washington,75
Minnesota,75
California,75
Idaho,75
Nebraska,74
Wisconsin,73
Michigan,73
Vermont,73
Wyoming,72
Georgia,71
Louisiana,70
Oklahoma,69
South Carolina,69
Nevada,69
Utah,68
Colorado,67
Alaska,65
District of Columbia,65
Kansas,61
Virginia,58
Oregon,43
