Category: All categories

Region,Cocaine: (2019)
Colorado,100
Nevada,95
Illinois,92
Texas,88
Florida,87
Massachusetts,87
New Mexico,86
California,86
Michigan,85
Arizona,84
Pennsylvania,83
Vermont,83
Delaware,83
Wisconsin,83
Oregon,82
North Carolina,82
Rhode Island,81
Alaska,81
Connecticut,81
Ohio,80
Washington,80
West Virginia,79
Alabama,79
New York,78
Maine,77
Indiana,76
Georgia,75
South Carolina,75
New Jersey,75
Virginia,74
District of Columbia,74
Louisiana,74
Maryland,73
New Hampshire,73
North Dakota,72
Hawaii,70
Tennessee,69
Nebraska,68
Kentucky,68
Missouri,68
Minnesota,67
Mississippi,67
Oklahoma,66
Montana,66
South Dakota,65
Idaho,64
Kansas,63
Wyoming,61
Iowa,58
Arkansas,57
Utah,54
