Category: All categories

Region,Fast food: (2005)
South Dakota,100
Nebraska,94
Idaho,87
Wyoming,87
Kansas,86
Louisiana,85
Kentucky,85
Indiana,81
Oklahoma,81
Tennessee,81
West Virginia,79
Nevada,77
New Mexico,77
Iowa,77
Michigan,77
Wisconsin,74
Minnesota,73
North Dakota,72
Delaware,72
Montana,71
Missouri,71
Ohio,71
North Carolina,70
Alabama,69
Arkansas,67
Arizona,67
Utah,66
Colorado,64
Hawaii,63
Illinois,62
California,62
Washington,61
Mississippi,60
Georgia,60
Oregon,58
Texas,57
Pennsylvania,57
Maryland,57
Virginia,57
Florida,56
South Carolina,55
New Jersey,52
Rhode Island,50
New Hampshire,50
New York,47
District of Columbia,46
Connecticut,45
Alaska,42
Vermont,40
Massachusetts,39
Maine,35
