Category: All categories

Region,Exercise: (2018)
Virginia,100
New York,95
Oregon,94
Maryland,92
Connecticut,91
Maine,90
North Carolina,90
Massachusetts,89
Utah,89
Hawaii,89
Kansas,89
Idaho,87
New Hampshire,87
Mississippi,87
Iowa,87
District of Columbia,87
Georgia,86
West Virginia,86
Arizona,86
Vermont,86
Arkansas,85
Louisiana,85
Wisconsin,85
Kentucky,84
Pennsylvania,84
Alabama,84
Indiana,84
New Mexico,84
Delaware,84
South Carolina,83
Michigan,82
New Jersey,82
Washington,82
Minnesota,82
Missouri,82
Illinois,81
California,81
Tennessee,81
Rhode Island,81
Texas,81
South Dakota,81
Ohio,80
Nebraska,80
Colorado,80
Alaska,80
North Dakota,80
Oklahoma,79
Wyoming,78
Montana,77
Florida,73
Nevada,72
