Category: All categories

Region,Diet: (2013)
Arkansas,100
Louisiana,98
Alabama,96
Tennessee,94
Montana,93
New Jersey,92
Maine,91
Arizona,91
Kentucky,89
Delaware,89
South Carolina,88
West Virginia,88
New Mexico,88
Mississippi,87
Alaska,87
Hawaii,86
North Dakota,86
Missouri,85
Oklahoma,84
Georgia,84
New Hampshire,83
Texas,83
Wisconsin,83
Nebraska,82
Connecticut,82
Idaho,81
South Dakota,81
Washington,81
Virginia,81
Maryland,81
Pennsylvania,80
Wyoming,80
Iowa,80
Nevada,80
Indiana,80
Florida,80
Michigan,80
California,79
Ohio,79
North Carolina,79
Rhode Island,79
Illinois,78
Colorado,78
Kansas,78
Massachusetts,78
New York,76
Vermont,76
District of Columbia,75
Utah,74
Minnesota,74
Oregon,72
