Category: All categories

Region,Statin: (2017)
Maine,100
Rhode Island,90
Vermont,90
New Hampshire,89
Montana,89
Minnesota,86
Oregon,83
Alaska,82
Tennessee,80
Connecticut,77
North Dakota,77
Massachusetts,76
Maryland,76
Hawaii,76
Iowa,75
West Virginia,75
South Dakota,75
Washington,74
Arkansas,73
Arizona,71
Missouri,71
Kentucky,71
Pennsylvania,71
Wisconsin,70
Mississippi,70
Oklahoma,70
Colorado,69
District of Columbia,68
Alabama,68
Florida,67
South Carolina,67
Nebraska,67
Idaho,67
New Mexico,66
Michigan,65
Delaware,65
Indiana,65
Ohio,65
Wyoming,65
Virginia,65
New Jersey,64
New York,63
Louisiana,62
North Carolina,62
Kansas,60
Georgia,59
Illinois,59
Utah,57
Texas,55
California,55
Nevada,52
