Category: All categories

Region,Statin: (2018)
Maine,100
West Virginia,99
South Dakota,99
Rhode Island,96
Montana,96
Alaska,95
New Hampshire,90
Vermont,89
Minnesota,89
Oregon,88
Missouri,88
Idaho,87
Wyoming,87
Wisconsin,87
Connecticut,87
Tennessee,87
Florida,86
Kansas,86
Massachusetts,84
North Dakota,82
District of Columbia,82
Colorado,82
Arizona,81
Maryland,80
Indiana,79
New Mexico,79
Hawaii,79
Delaware,78
Washington,77
Kentucky,77
Arkansas,76
New York,75
Pennsylvania,75
Mississippi,74
Alabama,73
Michigan,73
Louisiana,73
South Carolina,73
Iowa,72
Virginia,72
Oklahoma,71
Ohio,69
New Jersey,69
North Carolina,68
Nebraska,67
Texas,65
Illinois,64
Georgia,63
California,63
Utah,61
Nevada,60
