Category: All categories

Region,Statin: (2013)
Maine,100
Montana,87
New Hampshire,80
Delaware,79
Connecticut,76
West Virginia,75
South Dakota,75
Vermont,72
Rhode Island,71
Tennessee,69
New Mexico,68
Alaska,68
Iowa,66
Arkansas,66
South Carolina,65
Nebraska,64
Wisconsin,64
District of Columbia,64
Ohio,64
Massachusetts,64
Maryland,64
Pennsylvania,63
Alabama,63
Indiana,62
Michigan,62
Virginia,61
New Jersey,61
Minnesota,60
North Carolina,59
Washington,58
Arizona,56
Kentucky,56
Idaho,55
Louisiana,55
Missouri,55
Hawaii,54
North Dakota,54
Colorado,53
Wyoming,53
California,52
Kansas,52
Nevada,52
Florida,51
Oregon,51
Mississippi,50
New York,49
Utah,49
Illinois,47
Oklahoma,45
Georgia,45
Texas,43
