Category: All categories

Region,Cigarette: (2005)
Maine,100
West Virginia,90
Arkansas,87
Michigan,87
New Jersey,87
Montana,83
Rhode Island,83
Pennsylvania,82
North Dakota,80
Kentucky,80
Ohio,78
Hawaii,77
New York,77
Connecticut,76
South Dakota,76
Wisconsin,75
Vermont,75
Illinois,74
Oklahoma,72
New Hampshire,72
Mississippi,71
Missouri,71
Iowa,70
Nevada,68
Indiana,68
Washington,68
Minnesota,67
Louisiana,67
Oregon,66
Alaska,65
Massachusetts,64
Wyoming,64
Arizona,63
Maryland,63
Delaware,61
Tennessee,60
Alabama,59
North Carolina,59
Virginia,58
Nebraska,57
Idaho,57
Florida,57
California,57
Kansas,56
Colorado,56
New Mexico,55
South Carolina,54
District of Columbia,53
Georgia,50
Texas,49
Utah,42
