Category: All categories

Region,Alcohol: (2011)
North Dakota,100
Pennsylvania,99
District of Columbia,97
Vermont,95
Nebraska,95
South Dakota,95
New Hampshire,94
Washington,94
Minnesota,94
Massachusetts,94
Georgia,92
Oregon,91
Kentucky,90
Indiana,90
Wisconsin,89
Illinois,89
Colorado,89
Montana,89
Maryland,87
Ohio,87
Alaska,86
Connecticut,86
Florida,86
Michigan,86
Delaware,85
New York,85
Iowa,85
Kansas,85
Missouri,84
New Mexico,84
California,83
Wyoming,82
North Carolina,82
Texas,81
Rhode Island,81
Virginia,80
Arizona,78
New Jersey,78
Maine,78
West Virginia,78
South Carolina,77
Louisiana,75
Oklahoma,75
Tennessee,74
Alabama,74
Nevada,73
Idaho,71
Arkansas,71
Utah,71
Mississippi,66
Hawaii,65
