Category: All categories

Region,Alcohol: (2004)
North Dakota,100
South Dakota,98
Alaska,86
New Mexico,86
Delaware,84
Rhode Island,83
Wyoming,82
Vermont,81
Indiana,80
Mississippi,79
Nebraska,78
Idaho,77
Kentucky,76
Iowa,75
Montana,73
Maine,73
Wisconsin,73
Oregon,71
West Virginia,69
New Hampshire,69
Kansas,68
Connecticut,68
Colorado,68
Minnesota,67
Pennsylvania,66
Michigan,66
Arkansas,66
Utah,65
South Carolina,65
Maryland,64
North Carolina,64
Ohio,63
Hawaii,63
New York,62
Missouri,62
Oklahoma,61
Texas,61
Washington,59
Louisiana,59
District of Columbia,58
Alabama,58
Tennessee,58
Arizona,57
Massachusetts,56
New Jersey,56
California,56
Virginia,55
Nevada,54
Illinois,53
Georgia,53
Florida,50
