Category: All categories

Region,Cocaine: (2016)
New York,100
Illinois,99
Nevada,98
Rhode Island,98
Florida,96
Texas,94
California,92
Colorado,92
Tennessee,91
Massachusetts,90
District of Columbia,89
Georgia,87
Vermont,87
Michigan,87
Pennsylvania,86
West Virginia,86
Arizona,85
Connecticut,84
Washington,84
New Hampshire,83
New Mexico,83
Alaska,83
Ohio,82
North Carolina,82
Delaware,82
Hawaii,81
New Jersey,80
Indiana,80
Oregon,79
Virginia,78
South Carolina,74
Mississippi,73
Wisconsin,73
Maryland,73
Alabama,72
Kentucky,72
Louisiana,71
Maine,71
Minnesota,70
Missouri,68
North Dakota,67
Montana,67
Nebraska,66
Arkansas,64
Wyoming,63
Kansas,58
Oklahoma,57
Iowa,56
South Dakota,56
Utah,53
Idaho,52
