Category: All categories

Region,Cigarette: (2010)
West Virginia,100
Michigan,91
South Dakota,90
New Mexico,88
New York,86
Rhode Island,86
Wisconsin,86
Pennsylvania,86
Maine,85
Delaware,83
Nevada,83
Oklahoma,83
Missouri,81
North Dakota,81
Kansas,80
New Jersey,80
Wyoming,80
Arkansas,80
Massachusetts,79
North Carolina,79
South Carolina,78
Ohio,78
Kentucky,77
New Hampshire,77
Hawaii,76
Louisiana,76
Florida,75
Indiana,75
Washington,74
Connecticut,74
Vermont,73
Illinois,73
Mississippi,72
Georgia,72
Idaho,71
Nebraska,70
Arizona,69
Alabama,68
Alaska,68
Montana,68
Tennessee,68
Iowa,67
Texas,64
Oregon,62
Maryland,62
Colorado,60
Utah,59
District of Columbia,58
Virginia,57
Minnesota,55
California,55
