Category: All categories

Region,Exercise: (2005)
North Dakota,100
West Virginia,89
Alaska,85
South Dakota,84
Idaho,83
Iowa,82
Vermont,80
Arkansas,79
Louisiana,78
Mississippi,77
Delaware,76
Maine,75
Indiana,75
Utah,75
New Hampshire,75
Kansas,74
New Mexico,74
Nebraska,73
Tennessee,72
Minnesota,72
Hawaii,71
Kentucky,71
Montana,71
Alabama,70
South Carolina,70
Rhode Island,68
Colorado,68
Wisconsin,68
Maryland,68
Missouri,68
Oklahoma,68
Oregon,67
North Carolina,67
District of Columbia,66
Arizona,65
Michigan,62
Texas,62
Pennsylvania,61
Connecticut,61
Virginia,61
Illinois,61
Ohio,61
Nevada,60
New York,59
Georgia,59
Wyoming,59
New Jersey,58
Washington,57
Florida,56
Massachusetts,56
California,56
