Category: All categories

Region,Exercise: (2015)
Alabama,100
Maryland,99
Delaware,99
Mississippi,98
North Carolina,91
Vermont,91
Utah,91
New Jersey,91
Ohio,91
North Dakota,90
Wyoming,90
Connecticut,90
Indiana,90
South Dakota,89
Pennsylvania,89
Iowa,88
Wisconsin,87
Tennessee,86
Hawaii,86
Missouri,86
Arizona,85
Florida,85
New Hampshire,85
Arkansas,85
Minnesota,85
Massachusetts,85
Kentucky,85
Colorado,84
Louisiana,84
Michigan,83
West Virginia,83
Oklahoma,83
Idaho,82
Alaska,81
Montana,81
South Carolina,81
New Mexico,79
New York,79
Washington,79
Georgia,78
California,78
Rhode Island,78
Maine,78
Texas,77
Nebraska,76
Nevada,76
District of Columbia,75
Kansas,75
Virginia,75
Illinois,74
Oregon,64
