Category: All categories

Region,Chest pain: (2008)
North Dakota,100
Tennessee,86
South Dakota,82
Kentucky,81
Alabama,80
Delaware,80
South Carolina,78
New Hampshire,78
Louisiana,78
Oklahoma,77
Wyoming,76
Rhode Island,75
Michigan,75
Pennsylvania,75
Kansas,74
Connecticut,73
Montana,73
Mississippi,73
Arkansas,73
Maryland,73
Ohio,72
Missouri,72
Alaska,72
Idaho,72
Indiana,70
North Carolina,70
Massachusetts,69
Georgia,69
Illinois,69
Nebraska,68
District of Columbia,68
Iowa,68
Wisconsin,67
Maine,67
New Jersey,66
Arizona,66
Florida,66
Texas,64
Colorado,64
Nevada,63
Minnesota,63
West Virginia,62
New Mexico,62
Oregon,61
Utah,61
New York,60
Vermont,60
Washington,60
Hawaii,57
Virginia,51
California,42
