Category: All categories

Region,Cigarette: (2017)
West Virginia,100
Kentucky,93
Pennsylvania,91
Indiana,90
Kansas,88
Michigan,88
Vermont,85
Oklahoma,85
Missouri,85
Arkansas,83
Tennessee,83
Maine,82
Delaware,80
Massachusetts,80
Nevada,80
Louisiana,80
New York,79
Illinois,78
Florida,78
Ohio,77
Oregon,76
North Dakota,76
Montana,76
California,76
Minnesota,76
Rhode Island,76
North Carolina,75
Wyoming,75
District of Columbia,75
Alabama,75
New Hampshire,75
Mississippi,74
New Jersey,74
Colorado,73
Iowa,73
Virginia,72
Arizona,71
Connecticut,71
Georgia,71
South Carolina,71
Texas,70
Wisconsin,69
South Dakota,69
Alaska,69
Washington,68
Maryland,67
New Mexico,65
Nebraska,63
Hawaii,63
Idaho,61
Utah,60
