Category: All categories

Region,Statin: (2006)
Alaska,100
Oklahoma,91
Nevada,88
Arkansas,87
West Virginia,85
Maine,84
Montana,82
Missouri,80
Maryland,75
Connecticut,73
North Carolina,73
Pennsylvania,73
Massachusetts,73
Texas,72
Nebraska,72
South Carolina,72
Minnesota,71
Idaho,70
Rhode Island,68
Washington,66
Oregon,66
Kansas,66
New Mexico,66
Indiana,65
New Jersey,65
Mississippi,65
Florida,64
New York,62
Iowa,62
Illinois,61
District of Columbia,60
California,59
Michigan,59
Georgia,57
Louisiana,55
New Hampshire,54
Wisconsin,54
Colorado,53
Ohio,53
Virginia,52
Tennessee,51
Hawaii,50
Arizona,50
Kentucky,47
Utah,47
Alabama,39
Delaware,
North Dakota,
South Dakota,
Vermont,
Wyoming,
