Category: All categories

Region,Cigarette: (2014)
Kentucky,100
Kansas,97
West Virginia,92
Missouri,90
Tennessee,90
North Carolina,90
Alabama,88
Ohio,88
Louisiana,86
Michigan,86
Indiana,84
Illinois,84
Oklahoma,84
Georgia,84
South Carolina,82
Wisconsin,82
Florida,82
Pennsylvania,82
Minnesota,80
Colorado,80
Arizona,79
Nebraska,79
North Dakota,79
Texas,78
Washington,78
Wyoming,78
Arkansas,77
New Mexico,77
Nevada,77
New York,75
Rhode Island,74
Connecticut,74
Mississippi,73
Alaska,73
Iowa,73
Vermont,73
Montana,72
Massachusetts,72
Maine,71
District of Columbia,71
New Hampshire,71
New Jersey,71
Maryland,69
Virginia,69
Idaho,69
Delaware,69
Oregon,67
South Dakota,66
Hawaii,66
Utah,66
California,63
