Category: All categories

Region,Exercise: (2013)
Alabama,100
Maryland,91
Virginia,90
Utah,87
Iowa,86
North Dakota,85
Delaware,85
South Dakota,85
Hawaii,85
North Carolina,84
Pennsylvania,84
South Carolina,83
Indiana,83
Nebraska,82
Arkansas,82
West Virginia,82
Vermont,81
Kentucky,81
New Jersey,81
Connecticut,81
Wyoming,81
District of Columbia,81
Montana,80
Colorado,80
Tennessee,80
Idaho,80
Missouri,80
Mississippi,80
Wisconsin,79
Louisiana,79
Florida,79
Minnesota,79
Arizona,78
Massachusetts,78
Texas,77
Michigan,77
Oklahoma,77
Maine,76
Alaska,76
California,76
New Hampshire,75
Georgia,75
Ohio,74
Rhode Island,74
New York,74
Illinois,74
Kansas,74
Washington,72
New Mexico,72
Nevada,68
Oregon,53
