Category: All categories

Region,Chest pain: (2009)
West Virginia,100
Kentucky,90
Wyoming,78
Alabama,77
Louisiana,76
Mississippi,76
Tennessee,76
Ohio,76
Arkansas,75
Indiana,74
New Hampshire,73
Alaska,73
Pennsylvania,73
Montana,73
Idaho,72
South Carolina,71
Oklahoma,71
Nevada,70
Kansas,70
Missouri,70
South Dakota,70
North Carolina,70
Minnesota,70
Iowa,69
Rhode Island,69
Connecticut,68
Hawaii,67
Massachusetts,67
Georgia,67
Michigan,66
Maryland,66
Illinois,65
New Jersey,64
Delaware,64
Nebraska,63
Florida,63
New Mexico,62
Oregon,62
Arizona,62
District of Columbia,60
Wisconsin,59
Colorado,59
Utah,59
Texas,58
Vermont,58
Washington,56
New York,54
Maine,49
North Dakota,47
California,39
Virginia,35
