Category: All categories

Region,Diet: (2010)
Arkansas,100
Arizona,99
Oklahoma,98
Mississippi,94
Wyoming,94
Nevada,93
Montana,93
Tennessee,92
Kansas,91
Georgia,91
Missouri,91
West Virginia,90
Kentucky,88
Alabama,88
Louisiana,87
South Carolina,85
Florida,85
Nebraska,85
Colorado,85
Utah,84
North Carolina,83
Alaska,82
New Mexico,82
South Dakota,81
Oregon,81
Idaho,81
Indiana,81
Ohio,80
Washington,80
Texas,79
New Jersey,79
Iowa,78
Michigan,77
Pennsylvania,77
North Dakota,76
Minnesota,74
Illinois,74
Delaware,74
District of Columbia,72
Maryland,71
Wisconsin,71
New York,71
Connecticut,70
Maine,69
New Hampshire,67
Hawaii,67
Massachusetts,65
Rhode Island,64
California,61
Virginia,59
Vermont,57
