Category: All categories

Region,Exercise: (2009)
North Dakota,100
West Virginia,95
Mississippi,92
Wyoming,91
Delaware,90
Nebraska,90
Arkansas,89
South Dakota,89
Pennsylvania,89
Michigan,88
Maryland,87
Hawaii,86
Wisconsin,86
Iowa,85
Utah,85
Idaho,85
North Carolina,84
Minnesota,83
Ohio,83
Montana,83
Missouri,82
New Mexico,81
South Carolina,81
Colorado,81
Indiana,81
Massachusetts,80
District of Columbia,80
Kansas,79
Illinois,79
Florida,79
Tennessee,79
Georgia,79
Louisiana,78
Alabama,77
New Hampshire,76
Vermont,76
New York,76
New Jersey,76
Kentucky,76
Washington,75
Oklahoma,75
Arizona,74
Alaska,74
Rhode Island,74
Texas,72
Maine,72
Oregon,70
Connecticut,69
Nevada,69
California,56
Virginia,49
