Category: All categories

Region,Exercise: (2012)
Virginia,100
South Dakota,99
Alabama,99
North Dakota,98
Maryland,98
Utah,97
Wyoming,96
Iowa,96
Kentucky,95
Delaware,94
Pennsylvania,92
South Carolina,92
New Jersey,92
Oregon,91
Indiana,91
Vermont,91
North Carolina,90
Montana,90
Wisconsin,90
West Virginia,90
Tennessee,88
Mississippi,88
Kansas,88
Ohio,88
Massachusetts,87
Oklahoma,87
Connecticut,87
Idaho,87
Florida,86
Rhode Island,85
Minnesota,85
Washington,85
Michigan,84
Arizona,84
Arkansas,84
New Mexico,83
Alaska,83
Hawaii,82
Maine,82
Colorado,82
Louisiana,82
Nebraska,80
Missouri,80
Nevada,80
New York,79
Illinois,79
New Hampshire,78
Texas,78
California,78
Georgia,75
District of Columbia,75
