Category: All categories

Region,Cholesterol: (2008)
West Virginia,100
Delaware,91
Tennessee,88
Connecticut,87
New Mexico,85
Mississippi,84
Maryland,83
Nebraska,83
Maine,82
Kentucky,81
Alabama,81
Louisiana,80
Indiana,80
Rhode Island,80
New Hampshire,78
Wisconsin,78
Iowa,78
Vermont,77
South Carolina,76
South Dakota,76
Florida,75
North Carolina,75
Texas,75
Montana,74
Arkansas,74
Missouri,74
Hawaii,74
Oklahoma,74
New York,73
Colorado,73
North Dakota,72
District of Columbia,72
Alaska,72
Michigan,72
Arizona,72
Ohio,71
Minnesota,71
Georgia,71
Massachusetts,71
New Jersey,70
Oregon,70
Illinois,70
Pennsylvania,69
Wyoming,69
Washington,68
Kansas,67
Nevada,66
Idaho,65
Utah,65
California,61
Virginia,49
