Category: All categories

Region,Ketogenic diet: (2008)
Delaware,100
Rhode Island,58
New Hampshire,49
Alabama,43
New Mexico,36
Hawaii,32
Washington,29
Nevada,29
Nebraska,29
Iowa,28
Maryland,27
Colorado,26
Massachusetts,26
Florida,26
Virginia,25
Arizona,25
Illinois,25
New Jersey,24
Michigan,24
Texas,23
Louisiana,23
Wisconsin,23
Tennessee,23
Oregon,23
Georgia,22
New York,22
Connecticut,22
Pennsylvania,20
North Carolina,20
California,20
Utah,19
Missouri,19
South Carolina,19
Minnesota,18
Kentucky,16
Ohio,16
District of Columbia,14
Indiana,14
Oklahoma,14
Alaska,
Arkansas,
Idaho,
Kansas,
Maine,
Mississippi,
Montana,
North Dakota,
South Dakota,
Vermont,
West Virginia,
Wyoming,
