Category: All categories

Region,Chest pain: (2015)
West Virginia,100
Arkansas,97
Mississippi,89
Kentucky,88
Tennessee,88
Delaware,86
Alabama,84
Michigan,82
Georgia,81
Massachusetts,80
Pennsylvania,80
North Dakota,80
Rhode Island,79
North Carolina,77
Idaho,77
Oklahoma,76
Wyoming,76
New Hampshire,76
Louisiana,75
Illinois,75
Ohio,75
Maine,74
South Carolina,74
New York,72
Indiana,72
Florida,72
Texas,71
South Dakota,71
New Jersey,71
Nebraska,71
Alaska,70
Missouri,70
Connecticut,69
Nevada,68
Vermont,68
Iowa,68
New Mexico,68
Wisconsin,68
Montana,68
District of Columbia,67
Hawaii,67
Utah,67
California,65
Arizona,65
Maryland,63
Kansas,63
Minnesota,60
Washington,58
Colorado,56
Virginia,53
Oregon,46
