Category: All categories

Region,Cocaine: (2007)
Rhode Island,100
West Virginia,95
Delaware,91
New York,85
South Carolina,79
Connecticut,79
Vermont,78
Florida,77
North Carolina,75
Nevada,75
New Mexico,73
New Hampshire,72
Mississippi,71
Michigan,69
Maine,69
Louisiana,69
Kentucky,68
New Jersey,67
Texas,66
Arizona,66
California,66
Massachusetts,66
Alaska,65
Tennessee,65
Hawaii,65
Colorado,65
Kansas,64
Pennsylvania,64
Indiana,64
Alabama,64
Virginia,63
Illinois,63
Oregon,62
Ohio,62
Georgia,61
Wisconsin,60
Maryland,59
Arkansas,58
Washington,56
District of Columbia,55
North Dakota,55
Minnesota,54
Oklahoma,54
Missouri,53
South Dakota,51
Iowa,50
Idaho,49
Montana,47
Nebraska,46
Utah,45
Wyoming,36
