Category: All categories

Region,Exercise: (2016)
Virginia,100
North Carolina,94
New Hampshire,93
Maryland,91
Hawaii,91
Mississippi,91
Pennsylvania,90
Utah,90
Massachusetts,89
Georgia,89
New Jersey,89
Indiana,89
Idaho,88
Minnesota,88
Oregon,88
Nebraska,87
Alabama,87
North Dakota,87
Delaware,86
Iowa,86
Ohio,86
Vermont,86
Missouri,85
Kentucky,85
Connecticut,85
South Dakota,85
New York,84
Michigan,84
South Carolina,84
Tennessee,84
New Mexico,83
Kansas,83
California,83
Wisconsin,83
Louisiana,83
Wyoming,82
Alaska,82
Illinois,81
Arizona,81
Florida,81
West Virginia,80
Oklahoma,80
District of Columbia,79
Colorado,79
Washington,79
Montana,77
Rhode Island,77
Arkansas,77
Maine,76
Texas,75
Nevada,68
