Category: All categories

Region,Cocaine: (2006)
Rhode Island,100
Mississippi,91
West Virginia,86
Connecticut,85
South Carolina,82
New York,81
Louisiana,81
Alaska,79
Vermont,74
Pennsylvania,74
Delaware,73
New Jersey,72
North Carolina,71
Florida,71
Michigan,70
Alabama,69
Kentucky,69
Tennessee,69
Indiana,68
Ohio,68
New Hampshire,68
Massachusetts,68
Wisconsin,67
New Mexico,67
Maine,67
North Dakota,66
Nevada,65
Illinois,65
Kansas,65
Virginia,64
Maryland,63
California,62
Hawaii,62
Arkansas,61
Colorado,61
Georgia,61
Washington,60
Missouri,60
Minnesota,60
Arizona,59
Texas,58
Oregon,58
Montana,56
Wyoming,55
Idaho,53
Iowa,52
District of Columbia,52
Oklahoma,51
South Dakota,50
Utah,48
Nebraska,47
