Category: All categories

Region,Alcohol: (2012)
Massachusetts,100
Pennsylvania,97
New Hampshire,96
District of Columbia,94
Washington,94
New Mexico,94
Oregon,93
Maine,92
Colorado,92
Louisiana,92
Illinois,91
Nebraska,91
Minnesota,90
Wyoming,90
Ohio,90
North Dakota,90
Vermont,89
South Dakota,88
Indiana,88
Maryland,88
Alaska,88
Connecticut,88
Arizona,86
Montana,86
Georgia,86
Kentucky,85
Wisconsin,85
Michigan,84
Missouri,84
Rhode Island,83
Florida,83
Idaho,82
Nevada,82
Iowa,82
Delaware,81
North Carolina,80
Virginia,80
Oklahoma,80
Hawaii,80
Kansas,80
South Carolina,79
Texas,78
Alabama,78
New York,78
Tennessee,77
California,77
West Virginia,77
Arkansas,75
New Jersey,75
Mississippi,74
Utah,63
