Category: All categories

Region,Cocaine: (2014)
Texas,100
Florida,99
Massachusetts,99
Illinois,94
New York,94
Hawaii,93
Colorado,92
Nevada,92
Georgia,91
Rhode Island,89
California,89
North Carolina,88
District of Columbia,87
Mississippi,85
Vermont,85
Washington,84
Pennsylvania,83
Arizona,83
New Jersey,81
Tennessee,81
New Mexico,80
Louisiana,80
Delaware,79
Oklahoma,79
West Virginia,78
South Carolina,77
Kentucky,76
Michigan,76
New Hampshire,76
Connecticut,75
Maryland,75
Missouri,74
Ohio,73
Alaska,73
Maine,72
Kansas,72
North Dakota,71
Alabama,68
Nebraska,67
Minnesota,65
Arkansas,64
Wisconsin,64
Virginia,63
Iowa,62
Indiana,61
Wyoming,59
Utah,54
Montana,53
Idaho,50
South Dakota,47
Oregon,41
