Category: All categories

Region,Statin: (2016)
Maine,100
Montana,82
Oregon,79
Alaska,79
Vermont,79
New Hampshire,79
Connecticut,78
Minnesota,77
West Virginia,75
South Dakota,75
Delaware,75
Arizona,73
Massachusetts,72
Kentucky,72
Maryland,72
Wisconsin,71
Idaho,71
Wyoming,71
Tennessee,70
Rhode Island,70
Alabama,68
Missouri,68
Washington,67
Iowa,67
Pennsylvania,67
Michigan,67
Virginia,67
New York,66
Ohio,65
Hawaii,65
Colorado,64
Nebraska,64
New Jersey,63
Oklahoma,63
Indiana,63
New Mexico,61
Florida,61
Arkansas,61
Kansas,61
North Carolina,60
Mississippi,59
South Carolina,58
Louisiana,57
North Dakota,55
Nevada,55
Illinois,55
Utah,54
California,54
Georgia,53
District of Columbia,53
Texas,49
