Category: All categories

Region,Exercise: (2010)
North Dakota,100
West Virginia,93
South Dakota,92
Delaware,90
Nebraska,86
Iowa,85
Missouri,85
Hawaii,84
Pennsylvania,84
Indiana,83
Mississippi,82
Utah,82
Montana,82
New Mexico,82
Rhode Island,81
Minnesota,81
New Hampshire,81
District of Columbia,81
Arkansas,81
Wisconsin,80
Tennessee,80
Maine,80
Idaho,79
Maryland,79
Michigan,79
Ohio,78
North Carolina,78
Colorado,77
South Carolina,77
Florida,76
New Jersey,76
Washington,75
Alaska,75
Arizona,75
Wyoming,75
Louisiana,75
Texas,74
Alabama,74
Kentucky,73
Kansas,72
Massachusetts,70
Connecticut,69
Nevada,69
New York,69
Oklahoma,69
Oregon,69
Illinois,68
Georgia,68
Vermont,48
California,47
Virginia,38
