Category: All categories

Region,Statin: (2004)
West Virginia,100
Mississippi,62
Maine,54
Hawaii,52
Maryland,51
Kansas,49
Massachusetts,48
Nebraska,48
Oklahoma,47
New Jersey,47
Wisconsin,47
Pennsylvania,46
North Carolina,44
Nevada,41
Connecticut,41
Georgia,41
New York,41
Washington,40
Utah,39
Missouri,39
Louisiana,39
California,38
Florida,37
District of Columbia,36
Texas,36
Tennessee,36
South Carolina,36
Indiana,35
Arizona,35
Michigan,34
Oregon,33
Illinois,32
Alabama,32
Virginia,32
Ohio,31
Minnesota,31
Colorado,30
Kentucky,27
Alaska,
Arkansas,
Delaware,
Iowa,
Idaho,
Montana,
North Dakota,
New Hampshire,
New Mexico,
Rhode Island,
South Dakota,
Vermont,
Wyoming,
