Category: All categories

Region,Ketogenic diet: (2004)
Iowa,100
Louisiana,83
District of Columbia,79
Tennessee,76
Florida,73
Wisconsin,69
Georgia,67
North Carolina,64
New Jersey,61
New York,61
Washington,59
Arizona,58
California,50
Illinois,50
Ohio,47
Virginia,47
Maryland,46
Massachusetts,42
Michigan,42
Colorado,41
Texas,35
Pennsylvania,34
Alaska,
Alabama,
Arkansas,
Connecticut,
Delaware,
Hawaii,
Idaho,
Indiana,
Kansas,
Kentucky,
Maine,
Minnesota,
Missouri,
Mississippi,
Montana,
North Dakota,
Nebraska,
New Hampshire,
New Mexico,
Nevada,
Oklahoma,
Oregon,
Rhode Island,
South Carolina,
South Dakota,
Utah,
Vermont,
West Virginia,
Wyoming,
