Category: All categories

Region,Alcohol: (2010)
South Dakota,100
Delaware,99
North Dakota,96
Indiana,96
Rhode Island,94
Pennsylvania,94
Alaska,92
Washington,92
Wyoming,91
Massachusetts,91
New Mexico,90
Connecticut,90
Oregon,90
Montana,89
West Virginia,89
Wisconsin,89
Vermont,87
New Hampshire,87
Maine,86
Iowa,84
Minnesota,83
Michigan,83
Missouri,82
Colorado,82
Kentucky,82
Maryland,82
Idaho,81
North Carolina,81
Ohio,80
Arizona,80
Nebraska,77
South Carolina,76
New York,76
New Jersey,76
Illinois,74
Arkansas,74
Mississippi,74
Florida,73
District of Columbia,73
Kansas,71
Tennessee,70
Georgia,70
Louisiana,69
Hawaii,68
Texas,68
Alabama,66
Nevada,65
Oklahoma,64
California,61
Utah,57
Virginia,55
