Category: All categories

Region,Cocaine: (2018)
Illinois,100
Colorado,98
California,96
New York,90
Nevada,90
Massachusetts,89
Vermont,88
Pennsylvania,88
Florida,87
Michigan,87
Rhode Island,87
Arizona,87
Ohio,86
Texas,85
Louisiana,84
New Mexico,83
Oregon,83
North Carolina,82
Connecticut,82
Georgia,81
Washington,80
Virginia,78
New Jersey,78
Kentucky,78
Wisconsin,77
West Virginia,77
Alabama,77
Delaware,77
Indiana,76
Tennessee,76
Maine,75
Maryland,73
Hawaii,71
New Hampshire,71
Missouri,70
South Carolina,70
Minnesota,70
Oklahoma,68
District of Columbia,67
North Dakota,67
Alaska,65
Kansas,65
Nebraska,65
Mississippi,65
Wyoming,64
South Dakota,59
Idaho,59
Montana,59
Iowa,58
Arkansas,57
Utah,55
