Category: All categories

Region,Fast food: (2017)
Arizona,100
Nevada,96
Colorado,87
Nebraska,87
Oklahoma,83
Texas,81
Missouri,77
North Dakota,76
Utah,76
South Dakota,75
Alabama,74
Georgia,74
Kentucky,72
Tennessee,72
California,70
Louisiana,70
Wyoming,69
Kansas,68
South Carolina,68
New Mexico,67
Minnesota,67
Illinois,66
Mississippi,65
Florida,65
Virginia,62
North Carolina,62
Indiana,62
Michigan,62
Idaho,61
Ohio,61
Arkansas,60
Montana,60
Iowa,58
Wisconsin,57
Oregon,56
Washington,55
Maryland,49
District of Columbia,47
Delaware,46
West Virginia,44
Pennsylvania,43
Rhode Island,41
Hawaii,40
New Jersey,39
New York,37
Alaska,36
Connecticut,34
Massachusetts,34
New Hampshire,30
Vermont,28
Maine,28
