Category: All categories

Region,Fast food: (2007)
North Dakota,100
South Dakota,91
Kentucky,89
Nebraska,86
Nevada,85
Mississippi,79
Indiana,79
Arkansas,77
Kansas,76
New Mexico,75
Ohio,74
Utah,74
Arizona,74
California,73
Alabama,70
Tennessee,70
Idaho,70
Missouri,69
Louisiana,68
Michigan,67
North Carolina,66
Wisconsin,64
South Carolina,63
Illinois,63
Colorado,62
Iowa,62
Georgia,62
Oklahoma,60
West Virginia,60
Maine,58
Florida,56
Virginia,56
Minnesota,55
Rhode Island,55
Texas,55
Oregon,54
Washington,54
Wyoming,53
Maryland,50
Pennsylvania,48
New Jersey,48
Connecticut,47
New Hampshire,46
Montana,45
Delaware,44
New York,42
District of Columbia,42
Hawaii,41
Massachusetts,38
Alaska,32
Vermont,28
