Category: All categories

Region,Exercise: (2019)
Utah,100
District of Columbia,89
Virginia,89
Maryland,89
Massachusetts,88
New Mexico,87
Maine,87
Hawaii,87
New Hampshire,86
North Carolina,86
Arizona,86
New York,86
Oregon,86
West Virginia,85
Alabama,85
Indiana,84
Vermont,84
Idaho,83
Ohio,83
South Carolina,83
Delaware,83
Georgia,83
Mississippi,82
Washington,82
Arkansas,82
Connecticut,81
Wisconsin,81
Rhode Island,81
Missouri,81
Illinois,81
Minnesota,80
Kansas,80
Pennsylvania,79
Michigan,79
South Dakota,79
North Dakota,79
Colorado,78
Florida,78
Tennessee,77
New Jersey,77
Kentucky,76
California,76
Nebraska,75
Oklahoma,75
Texas,75
Louisiana,75
Wyoming,74
Alaska,74
Montana,73
Iowa,71
Nevada,67
