Category: All categories

Region,Cocaine: (2004)
South Carolina,100
West Virginia,97
Connecticut,89
Wyoming,85
Rhode Island,82
Pennsylvania,80
North Carolina,79
Michigan,79
Wisconsin,79
Florida,78
Vermont,77
New York,76
Delaware,75
Mississippi,75
South Dakota,73
Kansas,72
Massachusetts,72
Alabama,71
New Jersey,71
Alaska,71
New Mexico,71
Kentucky,70
North Dakota,69
Colorado,69
Nevada,69
Washington,69
Ohio,68
Missouri,67
Georgia,67
Indiana,66
Illinois,66
Texas,66
Maryland,65
Virginia,65
Arizona,65
Montana,64
Iowa,64
Maine,63
Oregon,63
New Hampshire,60
Oklahoma,59
Nebraska,59
Tennessee,58
Louisiana,56
California,55
Utah,54
Minnesota,54
Hawaii,54
District of Columbia,53
Arkansas,51
Idaho,40
