Category: All categories

Region,Alcohol: (2014)
New Hampshire,100
Maine,97
Pennsylvania,95
Massachusetts,95
Colorado,95
New Mexico,94
Minnesota,93
Oklahoma,92
Nebraska,91
District of Columbia,91
Alaska,91
Connecticut,91
Michigan,91
Wisconsin,91
Washington,90
Nevada,90
Rhode Island,90
Hawaii,89
Florida,89
Tennessee,88
Ohio,88
Indiana,88
North Dakota,88
Kentucky,88
Iowa,86
West Virginia,86
Wyoming,86
Maryland,86
Missouri,86
South Dakota,84
Georgia,84
Illinois,84
Idaho,84
Montana,83
Louisiana,82
Arkansas,82
Alabama,82
Arizona,82
Vermont,82
South Carolina,82
Kansas,81
North Carolina,80
Texas,80
California,80
New York,78
Delaware,78
New Jersey,77
Mississippi,77
Utah,71
Virginia,65
Oregon,57
