Category: All categories

Region,Exercise: (2017)
Virginia,100
New Jersey,98
Massachusetts,95
Mississippi,94
Maryland,94
Iowa,93
New York,91
Indiana,91
Oregon,91
Connecticut,90
Hawaii,89
Missouri,89
Utah,88
Pennsylvania,88
Washington,88
Vermont,88
Illinois,87
Nebraska,86
West Virginia,86
North Carolina,86
Alabama,86
Minnesota,86
New Hampshire,85
Kansas,85
Wisconsin,85
South Dakota,84
Kentucky,84
Delaware,84
North Dakota,84
Arkansas,83
Arizona,83
New Mexico,83
California,83
Michigan,82
Florida,82
Louisiana,82
Idaho,82
Wyoming,82
Maine,82
District of Columbia,81
Montana,81
South Carolina,80
Tennessee,80
Georgia,80
Oklahoma,80
Alaska,80
Ohio,80
Colorado,78
Rhode Island,78
Texas,78
Nevada,70
