Category: All categories

Region,Alcohol: (2019)
North Dakota,100
New Mexico,99
Alaska,88
Oregon,86
Nebraska,86
Minnesota,83
New Hampshire,83
Montana,82
Colorado,82
Indiana,82
Wisconsin,81
Washington,81
Nevada,81
Arkansas,80
Pennsylvania,79
West Virginia,79
Massachusetts,79
Maine,79
Missouri,78
Arizona,78
South Dakota,78
Ohio,78
Connecticut,77
Texas,77
Kentucky,77
Rhode Island,76
Hawaii,75
Louisiana,75
Idaho,75
Delaware,75
Michigan,75
Kansas,74
Vermont,74
Oklahoma,73
Iowa,73
Illinois,73
Virginia,73
Florida,73
Utah,72
Maryland,71
North Carolina,70
Tennessee,70
Georgia,70
Alabama,70
Wyoming,69
South Carolina,69
New York,68
New Jersey,68
California,68
District of Columbia,66
Mississippi,65
