Category: All categories

Region,Cholesterol: (2012)
Mississippi,100
Arkansas,97
West Virginia,96
Maine,95
Virginia,93
New Jersey,93
South Dakota,91
Pennsylvania,90
Florida,87
Montana,86
North Dakota,86
Maryland,85
Rhode Island,85
Iowa,84
Alabama,83
New Mexico,83
Wyoming,83
Minnesota,83
North Carolina,83
Tennessee,82
Delaware,82
Nebraska,82
Ohio,81
Indiana,81
Oklahoma,81
Alaska,80
Texas,80
New Hampshire,80
Arizona,79
Michigan,79
Oregon,79
New York,79
Kansas,79
Kentucky,79
Missouri,78
California,78
Massachusetts,78
Nevada,78
Idaho,77
Connecticut,77
Colorado,77
Illinois,76
Vermont,76
Georgia,75
South Carolina,75
Utah,75
Hawaii,75
Wisconsin,74
Louisiana,71
Washington,68
District of Columbia,67
