Category: All categories

Region,Alcohol: (2016)
Montana,100
Alaska,98
New Mexico,96
Maine,95
Washington,95
Connecticut,91
New Hampshire,91
Colorado,91
Massachusetts,91
Ohio,90
Indiana,89
Minnesota,88
Pennsylvania,88
Kentucky,87
Illinois,86
Michigan,86
North Dakota,85
Wisconsin,85
District of Columbia,84
Nebraska,84
Vermont,84
Idaho,84
Rhode Island,83
South Dakota,83
Nevada,83
Delaware,82
Oregon,82
Georgia,82
Virginia,81
Missouri,81
Iowa,80
West Virginia,80
Arizona,80
California,80
Hawaii,79
New York,79
South Carolina,79
North Carolina,79
Tennessee,78
Maryland,78
Kansas,78
New Jersey,77
Alabama,77
Louisiana,76
Oklahoma,76
Florida,76
Wyoming,75
Texas,74
Arkansas,72
Mississippi,71
Utah,70
