Category: All categories

Region,Ketogenic diet: (2018)
Oklahoma,100
Idaho,99
Alaska,95
Utah,87
Wyoming,86
Oregon,82
Washington,82
Kansas,79
Texas,78
Arizona,78
New Mexico,75
Arkansas,75
West Virginia,73
Florida,73
Montana,73
Missouri,73
Louisiana,72
Indiana,70
Tennessee,70
Nebraska,69
North Dakota,69
Colorado,69
Georgia,69
California,69
Kentucky,68
Wisconsin,67
Alabama,66
Iowa,66
Ohio,66
Nevada,66
Virginia,66
New Hampshire,65
Hawaii,64
South Carolina,64
Mississippi,63
Michigan,63
Maine,62
North Carolina,60
Minnesota,60
South Dakota,58
Illinois,56
Pennsylvania,55
Delaware,55
Maryland,54
Connecticut,50
Massachusetts,49
Rhode Island,49
Vermont,48
New Jersey,46
New York,45
District of Columbia,39
