Category: All categories

Region,Cigarette: (2008)
Rhode Island,100
West Virginia,91
South Dakota,89
Pennsylvania,89
Vermont,88
Maine,88
New York,86
New Hampshire,85
Delaware,85
Wisconsin,84
Indiana,83
Kentucky,80
Alaska,79
New Jersey,79
Iowa,79
Maryland,78
Hawaii,77
Connecticut,77
Illinois,77
Nebraska,75
Kansas,75
Mississippi,73
Arkansas,73
Arizona,72
Michigan,71
Nevada,70
Massachusetts,70
South Carolina,70
Louisiana,69
Missouri,68
Virginia,67
Oregon,67
Texas,67
Ohio,66
Oklahoma,65
District of Columbia,65
Wyoming,63
New Mexico,63
Montana,63
Florida,63
Minnesota,63
North Carolina,62
Tennessee,62
Alabama,61
California,61
Washington,61
Colorado,59
North Dakota,58
Georgia,55
Idaho,49
Utah,47
